Hr.Stroke.LAABN,Hr.Stroke.C0,Hr.Stroke.C1,Hr.Stroke.C2,Hr.Stroke.C3,Hr.Stroke.C4,Hr.Bleed.lt75.Dab,Hr.Bleed.75over.Dab,Hr.Bleed.lt75.War,Hr.Bleed.75over.War,Hr.Bleed.lt75.Riv,Hr.Bleed.75over.Riv,Hr.Stroke.Dab,Hr.Stroke.War,Hr.Stroke.Riv,Prob.Death.stroke,Prob.DepState.stroke,Prob.IndState.stroke,Prob.Death.Bleed.Dab,Prob.Death.Bleed.War,Prob.Death.Bleed.Riv,Prob.Ich.Bleed.Dab,Prob.Ich.Bleed.War,Prob.Ich.Bleed.Riv,Prob.Nich.Bleed.Dab,Prob.Nich.Bleed.War,Prob.Nich.Bleed.Riv,Prob.Gos2.Ich,Prob.Gos3.Ich,Prob.Gos4.Ich,Prob.Gos5.Ich,Util.DepState.Stroke,Util.IndState.Stroke,Util.Gos2,Util.Gos3,Util.Gos4,Util.Gos5,Util.Nich,Cost.Death.Stroke,Cost.DepState.Inst,Cost.DepState.Cont,Cost.IndState.Inst,Cost.IndState.Cont,Cost.Gos2.Inst,Cost.Gos2.Cont,Cost.Gos3.Inst,Cost.Gos3.Cont,Cost.Gos4.Inst,Cost.Gos4.Cont,Cost.Gos5.Inst,Cost.Gos5.Cont,Cost.Death.Bleed,Cost.Nich,Cost.Dab,Cost.War,Cost.Riv,Sens,Spec,hrProp.C0,hrProp.C1,hrProp.CV0,hrProp.CV1
0.0801,0.007958547,0.017788213,0.02705613,0.041024155,0.054519306,0.021835268,0.056221579,0.030679934,0.047540306,0.023460209,0.041964782,0.228767123,0.307754369,0.374556309,0.252533125,0.575038286,0.172428588,0.115488601,0.115488601,0.115488601,0.093787837,0.093787837,0.093787837,0.790723562,0.790723562,0.790723562,0.112502289,0.142917953,0.083880556,0.660699202,0.483347756,0.819461914,0,0.219570001,0.637034294,0.892035494,0.999908342,4979.737249,2937.040751,6319.416801,539.4634656,3058.65364,46181.18071,49705.96324,11143.8418,33844.95574,20949.0551,0,1259.297902,0,4979.737249,1239.894182,821.25,252.7422674,767,0.957836504,0.339745483,0.106241428,0.141375141,0.017634795,0.024062626
0.0822,0.008882719,0.018147015,0.027366854,0.041478022,0.057671965,0.023217247,0.045473336,0.025152018,0.049193882,0.034246565,0.040932391,0.187925858,0.388869089,0.292866505,0.242400624,0.584860161,0.172739215,0.110626928,0.110626928,0.110626928,0.103716124,0.103716124,0.103716124,0.785656948,0.785656948,0.785656948,0.104672564,0.127505482,0.084199873,0.683622081,0.488044714,0.820181215,0,0.227427354,0.640604523,0.893829141,0.997153046,5490.553264,2900.590761,6016.393222,538.1951184,3264.888866,44488.74127,49843.68742,10809.13336,33926.50772,27864.65531,0,1289.995432,0,5490.553264,1236.863587,821.25,252.9739161,767,0.961466087,0.384051721,0.190252863,0.216490297,0.045494111,0.080040164
0.0807,0.009301267,0.018155913,0.028083333,0.042127245,0.057833222,0.021835268,0.044646548,0.028192371,0.051260852,0.032109629,0.051223569,0.210136447,0.334661301,0.249709979,0.238503507,0.565321076,0.196175416,0.092360822,0.092360822,0.092360822,0.113558441,0.113558441,0.113558441,0.794080737,0.794080737,0.794080737,0.108524503,0.145990183,0.088120145,0.657365169,0.48444394,0.820827375,0,0.223239302,0.636790794,0.894369565,0.996115689,6575.981603,2827.662055,5811.529954,542.3505454,2940.671308,44587.85879,49614.63155,10690.06394,33886.66706,28575.57019,0,1274.738287,0,6575.981603,1271.22356,821.25,255.5748734,767,0.91322134,0.395262907,0.105469417,0.20347554,0.015909953,0.015770836
0.0817,0.009739607,0.018189289,0.028518731,0.042772325,0.059585999,0.017965727,0.054568003,0.02957435,0.045059942,0.032979742,0.046858159,0.131132615,0.318004042,0.313887016,0.251753702,0.544723537,0.203522761,0.106380354,0.106380354,0.106380354,0.076456522,0.076456522,0.076456522,0.817163124,0.817163124,0.817163124,0.114852338,0.160032626,0.064831008,0.660284028,0.486029735,0.820438282,0,0.223434692,0.634789157,0.891882657,0.997779491,5727.964856,2839.40503,6473.091944,535.9240749,3079.472884,49616.1975,49714.70546,10433.92249,33897.75293,25658.75264,0,1222.033184,0,5727.964856,1316.804413,821.25,253.5245293,767,0.948135513,0.373741351,0.088778629,0.205709864,0.137988179,0.007011417
0.0803,0.010042974,0.018365078,0.028827184,0.042790537,0.061121703,0.021835268,0.050847458,0.025981205,0.040099215,0.034192821,0.047225244,0.179376487,0.308641373,0.254499345,0.249415433,0.581855179,0.168729389,0.104303232,0.104303232,0.104303232,0.094484007,0.094484007,0.094484007,0.801212761,0.801212761,0.801212761,0.115103886,0.138789837,0.085856375,0.660249902,0.485458538,0.820990671,0,0.225522243,0.639335337,0.892369131,0.995671698,4159.641174,2906.857309,7013.506198,535.0211338,3223.648513,47500.61152,50162.44936,9726.361004,33904.79894,26284.64338,0,1239.19078,0,4159.641174,1227.501833,821.25,253.5082013,767,0.915963426,0.305748586,0.104852938,0.272163514,0.051086093,0.019709742
0.0786,0.010137233,0.018382531,0.029123118,0.044235351,0.061208995,0.021282477,0.055808185,0.030956329,0.038859033,0.025338754,0.047473385,0.296749471,0.453874043,0.282460374,0.258768511,0.513083829,0.22814766,0.119731461,0.119731461,0.119731461,0.069500792,0.069500792,0.069500792,0.810767746,0.810767746,0.810767746,0.110968624,0.157174798,0.076177646,0.655678932,0.484862576,0.818970011,0,0.224269539,0.640138151,0.893289998,0.998396991,12525.15334,2753.845717,7127.746093,556.2281157,3109.460943,48998.60563,50085.93505,10448.95217,33904.28135,26138.13318,0,1243.557359,0,12525.15334,1311.121485,821.25,254.9201889,767,0.952885725,0.351630854,0.162535211,0.156185305,0.006585162,0.026508768
0.0763,0.010474627,0.01845165,0.029165043,0.044453375,0.061780633,0.022111664,0.050434064,0.030403538,0.035551881,0.035198811,0.035659778,0.196101366,0.366641713,0.302438383,0.243180047,0.550788831,0.206031122,0.099306147,0.099306147,0.099306147,0.088931386,0.088931386,0.088931386,0.811762467,0.811762467,0.811762467,0.105518422,0.140194868,0.092178092,0.662108619,0.484665973,0.820545397,0,0.223298505,0.640985639,0.892179373,0.996880204,5677.324325,2897.076316,6414.113251,529.0551266,2965.976409,45825.02213,50268.33534,9974.241279,33941.25436,30243.72715,0,1234.976395,0,5677.324325,1217.770733,821.25,256.6490897,767,0.974286409,0.352883699,0.022339117,0.237153718,0.056254996,0.043239685
0.0826,0.010834163,0.018627828,0.029375926,0.044812873,0.062268875,0.021282477,0.05002067,0.028745163,0.044646548,0.025202521,0.059591296,0.248177898,0.270237687,0.293269341,0.2416212,0.559697865,0.198680935,0.133366661,0.133366661,0.133366661,0.095413458,0.095413458,0.095413458,0.771219881,0.771219881,0.771219881,0.123227554,0.135414416,0.069552898,0.671805132,0.48198877,0.819694993,0,0.222644978,0.637004098,0.892422549,0.995890213,4749.910634,2762.534422,6848.126178,522.7131369,3020.835969,42895.72526,50111.70701,8893.986088,33848.91139,26538.32574,0,1266.812223,0,4749.910634,1272.13116,821.25,252.3790532,767,0.976006807,0.369497615,0.090769939,0.215650462,0.056245861,0.030104859
0.0808,0.01092454,0.018782048,0.029579962,0.0457749,0.062409983,0.019624102,0.062009095,0.035102266,0.046713518,0.033132028,0.04588844,0.136736769,0.260773801,0.256074103,0.248636009,0.555126404,0.196237586,0.08418629,0.08418629,0.08418629,0.104524476,0.104524476,0.104524476,0.811289234,0.811289234,0.811289234,0.129916445,0.142991431,0.072036174,0.65505595,0.484459931,0.818541387,0,0.219887272,0.633453266,0.893776377,0.999637205,5308.352897,2830.751841,6267.362844,560.312222,3244.544733,48716.6327,50084.60806,9862.321667,33885.1478,27303.07844,0,1245.765571,0,5308.352897,1245.142316,821.25,254.5100508,767,0.973303499,0.335016979,0.091179054,0.276559394,0.031825359,0.054163295
0.0755,0.011039723,0.018782141,0.029811867,0.045883266,0.062415797,0.021282477,0.049607276,0.029021559,0.042166184,0.039518685,0.052797244,0.189569874,0.389300713,0.23736988,0.233826968,0.593979324,0.172193708,0.090136054,0.090136054,0.090136054,0.058042521,0.058042521,0.058042521,0.851821424,0.851821424,0.851821424,0.10090879,0.162340833,0.062520066,0.674230311,0.489180683,0.82344025,0,0.223721402,0.642112099,0.892676186,0.998721338,4969.190225,2778.095723,6418.028156,534.4258728,3282.901103,47506.93193,49559.74766,9989.709531,33912.71829,25340.77814,0,1226.101226,0,4969.190225,1238.02294,821.25,253.7255994,767,0.941196994,0.329071144,0.075612181,0.289256236,0.001986323,0.023915472
0.0851,0.011092757,0.019116763,0.029999114,0.046182267,0.062430009,0.022940851,0.053741215,0.032338308,0.045473336,0.029825627,0.049134303,0.227949852,0.294636185,0.339381189,0.247077163,0.560539423,0.192383414,0.108333107,0.108333107,0.108333107,0.080183361,0.080183361,0.080183361,0.811483532,0.811483532,0.811483532,0.12749124,0.12694692,0.084337446,0.661224393,0.487801037,0.817112346,0,0.22542085,0.635816812,0.895417721,0.994207281,5506.015236,2762.964338,6745.09239,553.9816892,3298.79503,44585.80729,50253.7819,10778.59019,33907.51457,25567.47222,0,1253.437085,0,5506.015236,1240.780951,821.25,254.3114585,767,0.938496722,0.310396387,0.102980715,0.194179941,0.00625375,0.111627071
